code,topic,title,url
POL-01,Historical Background — Regulating Act to Indian Independence Act,Wikipedia: Government of India Act 1935,https://en.wikipedia.org/wiki/Government_of_India_Act_1935
POL-01,Historical Background — Regulating Act to Indian Independence Act,Wikipedia: Regulating Act 1773,https://en.wikipedia.org/wiki/Regulating_Act_1773
POL-02,Making of the Constitution & Constituent Assembly,Wikipedia: Constituent Assembly of India,https://en.wikipedia.org/wiki/Constituent_Assembly_of_India
POL-03,Salient Features of the Constitution,Wikipedia: Constitution of India,https://en.wikipedia.org/wiki/Constitution_of_India
POL-04,Preamble,Wikipedia: Preamble to the Constitution of India,https://en.wikipedia.org/wiki/Preamble_to_the_Constitution_of_India
POL-05,Union and its Territory (Art 1–4),"Wikipedia: States Reorganisation Act, 1956","https://en.wikipedia.org/wiki/States_Reorganisation_Act,_1956"
POL-06,Citizenship (Art 5–11) & CAA,"Wikipedia: Citizenship (Amendment) Act, 2019","https://en.wikipedia.org/wiki/Citizenship_(Amendment)_Act,_2019"
POL-06,Citizenship (Art 5–11) & CAA,Wikipedia: Indian nationality law,https://en.wikipedia.org/wiki/Indian_nationality_law
POL-07,"Fundamental Rights I — Art 12–13, Right to Equality (14–18)",Wikipedia: Fundamental rights in India,https://en.wikipedia.org/wiki/Fundamental_rights_in_India
POL-08,Fundamental Rights II — Right to Freedom (Art 19–22),Wikipedia: Article 21 of the Constitution of India,https://en.wikipedia.org/wiki/Article_21_of_the_Constitution_of_India
POL-09,"Fundamental Rights III — Art 23–28, Exploitation & Religion",Wikipedia: Freedom of religion in India,https://en.wikipedia.org/wiki/Freedom_of_religion_in_India
POL-10,"Fundamental Rights IV — Art 29–32, Minorities & Writs",Wikipedia: Fundamental rights in India,https://en.wikipedia.org/wiki/Fundamental_rights_in_India
POL-11,Directive Principles of State Policy (Art 36–51),Wikipedia: Directive Principles,https://en.wikipedia.org/wiki/Directive_Principles
POL-12,Fundamental Duties & Amendment of the Constitution (Art 368),Wikipedia: Amendment of the Constitution of India,https://en.wikipedia.org/wiki/Amendment_of_the_Constitution_of_India
POL-12,Fundamental Duties & Amendment of the Constitution (Art 368),"Wikipedia: FRs, DPSPs and Fundamental Duties of India","https://en.wikipedia.org/wiki/Fundamental_Rights,_Directive_Principles_and_Fundamental_Duties_of_India"
POL-13,Basic Structure Doctrine & landmark judgments,Wikipedia: Basic structure doctrine,https://en.wikipedia.org/wiki/Basic_structure_doctrine
POL-14,Parliamentary System & Federal System,Wikipedia: Federalism in India,https://en.wikipedia.org/wiki/Federalism_in_India
POL-14,Parliamentary System & Federal System,Wikipedia: Parliamentary system,https://en.wikipedia.org/wiki/Parliamentary_system
POL-15,Centre–State Relations & Inter-State Relations,Wikipedia: Federalism in India,https://en.wikipedia.org/wiki/Federalism_in_India
POL-15,Centre–State Relations & Inter-State Relations,Wikipedia: Inter-State Council,https://en.wikipedia.org/wiki/Inter-State_Council
POL-16,"Emergency Provisions (Art 352, 356, 360)",Wikipedia: President's rule,https://en.wikipedia.org/wiki/President%27s_rule
POL-16,"Emergency Provisions (Art 352, 356, 360)",Wikipedia: The Emergency (India),https://en.wikipedia.org/wiki/The_Emergency_(India)
POL-17,"President, Vice-President, PM & Council of Ministers",Wikipedia: President of India,https://en.wikipedia.org/wiki/President_of_India
